1710953423:54528,B000,1.0750,11.0000,11.0000,0.0000
1710953423:84520,B000,1.0750,11.0000,11.0000,0.0000
1710953423:131156,B003,25.2286,23.5957,25.4636
1710953423:244572,B000,1.0750,11.0000,11.0000,0.0000
1710953423:314521,B000,1.0750,11.0000,11.0000,0.0000
1710953423:474575,B000,1.0800,11.0000,11.0000,0.0000
1710953423:504552,B000,1.0750,11.0000,11.0000,0.0000
1710953423:634563,B000,1.0750,11.0000,11.0000,0.0000
1710953423:664566,B000,1.0750,11.0000,11.0000,0.0000
1710953423:894583,B000,1.0750,11.0000,11.0000,0.0000
1710953423:924587,B000,1.0800,11.0000,11.0000,0.0000
1710953424:54586,B000,1.0750,11.0000,11.0000,0.0000
1710953424:84589,B000,1.0750,11.0000,11.0000,0.0000
1710953424:131212,B003,25.2571,23.5957,25.4364
1710953424:244598,B000,1.0750,11.0000,11.0000,0.0000
1710953424:314616,B000,1.0750,11.0000,11.0000,0.0000
1710953424:475439,B000,1.0750,11.0000,11.0000,0.0000
1710953424:504621,B000,1.0750,11.0000,11.0000,0.0000
1710953424:634638,B000,1.0750,11.0000,11.0000,0.0000
1710953424:664637,B000,1.0750,11.0000,11.0000,0.0000
1710953424:894665,B000,1.0750,11.0000,11.0000,0.0000
1710953424:924652,B000,1.0750,11.0000,11.0000,0.0000
1710953425:54660,B000,1.0750,11.0000,11.0000,0.0000
1710953425:84658,B000,1.0750,11.0000,11.0000,0.0000
1710953425:131277,B003,25.2857,23.5887,25.4818
1710953425:244708,B000,1.0750,11.0000,11.0000,0.0000
1710953425:314680,B000,1.0750,11.0000,11.0000,0.0000
1710953425:474697,B000,1.0750,11.0000,11.0000,0.0000
1710953425:504697,B000,1.0800,11.0000,11.0000,0.0000
1710953425:634701,B000,1.0750,11.0000,11.0000,0.0000
1710953425:665523,B000,1.0750,11.0000,11.0000,0.0000
1710953425:894722,B000,1.0750,11.0000,11.0000,0.0000
1710953425:924721,B000,1.0750,11.0000,11.0000,0.0000
1710953426:54731,B000,1.0750,11.0000,11.0000,0.0000
1710953426:84730,B000,1.0750,11.0000,11.0000,0.0000
1710953426:131252,B003,25.2571,23.5887,25.4818
1710953426:244745,B000,1.0800,11.0000,11.0000,0.0000
1710953426:314749,B000,1.0750,11.0000,11.0000,0.0000
1710953426:474759,B000,1.0750,11.0000,11.0000,0.0000
1710953426:504758,B000,1.0750,11.0000,11.0000,0.0000
1710953426:634774,B000,1.0750,11.0000,11.0000,0.0000
1710953426:664775,B000,1.0750,11.0000,11.0000,0.0000
1710953426:894790,B000,1.0750,11.0000,11.0000,0.0000
1710953426:924795,B000,1.0750,11.0000,11.0000,0.0000
1710953427:54803,B000,1.0750,11.0000,11.0000,0.0000
1710953427:84800,B000,1.0750,11.0000,11.0000,0.0000
1710953427:131314,B003,25.2571,23.6099,25.4818
1710953427:244812,B000,1.0750,11.0000,11.0000,0.0000
1710953427:314820,B000,1.0750,11.0000,11.0000,0.0000
